total_summer,no_games,no_hosted,team
2399,48,4,United States
1413,32,1,Russia
780,49,3,Great Britain
671,49,2,France
1304,54,2,Germany
549,48,1,Italy
483,48,1,Sweden
476,47,0,Hungary
473,19,1,China
468,43,2,Australia
398,41,1,Japan
302,46,1,Finland
301,40,0,Romania
279,47,1,Canada
271,42,0,Poland
266,45,1,Netherlands
243,33,1,South Korea
214,38,0,Bulgaria
209,19,0,Cuba
185,49,0,Switzerland
179,39,0,Denmark
148,46,0,Norway
143,32,0,Czechoslovakia
142,45,1,Belgium
131,41,1,Spain
115,11,0,Ukraine
111,45,3,Greece
108,28,0,Brazil
99,37,0,New Zealand
86,48,0,Austria
86,16,0,Kenya
86,37,0,Turkey
83,30,0,Yugoslavia
76,24,0,South Africa
75,11,0,Belarus
70,41,0,Argentina
67,23,0,Jamaica
62,30,0,Mexico
60,25,0,Iran
52,11,0,Kazakhstan
47,17,0,North Korea
45,14,0,Ethiopia
44,11,0,Czech Republic
33,20,0,Estonia
29,26,0,Ireland
27,14,0,Indonesia
26,10,0,Azerbaijan
26,22,0,Egypt
26,32,0,India
25,11,0,Georgia
24,25,0,Mongolia
24,11,0,Slovakia
24,18,0,Thailand
23,13,0,Croatia
23,15,0,Nigeria
23,30,0,Portugal
22,19,0,Morocco
21,16,0,Lithuania
20,11,0,Uzbekistan
19,19,0,Colombia
19,20,0,Latvia
19,13,0,Slovenia
19,24,0,Chinese Taipei
18,19,0,Trinidad and Tobago
15,15,0,Algeria
13,38,0,Chile
12,11,0,Armenia
12,2,0,Australasia
12,15,0,Bahamas
12,21,0,Venezuela
10,18,0,Pakistan
10,13,0,Tunisia
10,21,0,Uruguay
9,24,0,Philippines
9,6,0,Serbia and Montenegro
8,23,0,Puerto Rico
8,13,0,Zimbabwe
7,21,0,Israel
7,11,0,Moldova
7,5,0,Serbia
7,14,0,Uganda
6,13,0,Dominican Republic
6,12,0,Malaysia
5,14,0,Cameroon
4,3,0,Bohemia
4,20,0,Costa Rica
4,14,0,Ghana
4,36,0,Iceland
4,32,0,Lebanon
4,6,0,Namibia
4,19,0,Peru
4,8,0,Qatar
4,15,0,Singapore
3,19,0,Hong Kong
3,11,0,Kyrgyzstan
3,16,0,Panama
3,10,0,Saudi Arabia
3,12,0,Syria
3,9,0,Tajikistan
2,13,0,Afghanistan
2,1,0,British West Indies
2,13,0,Ecuador
2,14,0,Haiti
2,12,0,Kuwait
2,30,0,Luxembourg
2,9,0,Mozambique
2,16,0,Sri Lanka
2,11,0,Suriname
2,12,0,Tanzania
2,14,0,Vietnam
2,12,0,Zambia
1,8,0,Bahrain
1,11,0,Barbados
1,24,0,Bermuda
1,9,0,Botswana
1,5,0,Burundi
1,12,0,Ivory Coast
1,19,0,Cyprus
1,7,0,Djibouti
1,4,0,Eritrea
1,9,0,Gabon
1,8,0,Grenada
1,14,0,Guatemala
1,16,0,Guyana
1,13,0,Iraq
1,10,0,Macedonia
1,8,0,Mauritius
1,4,0,Montenegro
1,15,0,Netherlands Antilles
1,11,0,Niger
1,12,0,Paraguay
1,18,0,Senegal
1,11,0,Sudan
1,10,0,Togo
1,9,0,Tonga
1,8,0,United Arab Emirates
1,18,0,Virgin Islands
0,34,0,Liechtenstein
